主類別(L1),次類別(L2),key,細項(L3),細項(L3) EN,細節(L4),細節(L4) EN,風險,修復難易度,Level 2 Score,Level 1 Score,Level 0 Score,OPEN API,ISO,GDPR,PCI DSS,NIST CSF,詳細情況,詳細情況 EN,修復,修復 EN,更多資訊
external_service,database,public_db_couchdb,公開的 Apache CouchDB 資料庫,Public Apache CouchDB Database,,,M,M,12.50,4.44,1.37,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
18. Identify and authenticate access to system components.(???)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 Apache CouchDB 資料庫，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取或竄改資料。,We detected that your server exposes a public Apache CouchDB database instance. An adversary can log in to the database and exfiltrate or modify sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•請避免將資料庫公開於外網，必要時應透過 VPN 避免未經授權的使用。","To mitigate this vulnerability, we suggest the following:
• Move the database into the internal network 
• Access the  database via VPN to prevent unauthorized usage",
external_service,database,public_db_redis,公開的 Redis 資料庫,Public Redis Database,,,M,M,12.50,4.44,1.37,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
19. Identify and authenticate access to system components.(???)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 Redis key-value datastore，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取或竄改資料。,We detected that your server exposes a public Redis key-value datastore instance. An adversary can log in to the database and exfiltrate or modify sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•請避免將資料庫公開於外網，必要時應透過 VPN 避免未經授權的使用。","To mitigate this vulnerability, we suggest the following:
• Move the database into the internal network 
• Access the  database via VPN to prevent unauthorized usage",
external_service,remote_service,public_service_smb,公開的 SMB 服務,Public SMB Service,,,H,M,33.33,8.89,2.73,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
20. Identify and authenticate access to system components.(???)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 SMB (Server Message Block) 服務，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取資料或藉由執行控制命令來攻擊伺服器。,We detected that your server exposes a public SMB (Server Message Block) service. An adversary can log in to the server and execute arbitrary commands to exfiltrate sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•請避免將 SMB 服務公開於外網, 必要時應透過 VPN 避免未經授權的使用。","To mitigate this vulnerability, we suggest the following:
• Move the SMB service into the internal network 
• Access the  SMB service via VPN to prevent unauthorized usage",
external_service,remote_service,public_service_ftp,公開的 FTP 服務,Public FTP Service,,,H,L,33.33,8.89,2.73,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
21. Identify and authenticate access to system components.(???)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 FTP (File Transfer Protocol) ，如果對外開放卻未做好權限控管，會讓攻擊者有機會藉由 FTP 竊取資料和上傳惡意檔案。,We detected that your server exposes a public FTP (File Transfer Protocol) service. An adversary can log in to the server and exfiltrate sensitive data or upload malicious files if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•改用經過 SSL 加密的 SFTP 或 FTPS。
•使用憑證登入取代帳密登入。","To mitigate this vulnerability, we suggest the following:
• Use the SSL-encrypted version of FTP: SFTP or FTPS instead
• Configure login methods to use client certificates instead of passwords for authentication",
external_service,remote_service,public_service_rsync,公開的 rsync 服務,Public rsync Service,,,M,M,16.67,4.44,1.37,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
22. Identify and authenticate access to system components.(???)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到公開的 rsync 服務，如果對外開放卻未做好權限控管，會讓攻擊者有機會從遠端竊取資料或藉由執行控制命令來攻擊伺服器。,We detected that your server exposes a public rsync service. An adversary can log in to the server and execute arbitrary commands to exfiltrate sensitive data if access control is misconfigured.,"為避免此風險，建議參照以下準則：
•請避免將 rsync 服務公開於外網，必要時應透過 VPN 避免未經授權的使用。","To mitigate this vulnerability, we suggest the following:
• Move the rsync service into the internal network 
• Access the  rsync service via VPN to prevent unauthorized usage",
external_service,remote_service,public_service_unknown,公開的未知服務,Public Unknown Service,,,L,L,8.33,2.22,0.68,,"13.1 Network Security Management
9.4 System and application access control",,"6. Develop and maintain secure systems and applications.
23. Identify and authenticate access to system components.(???)","PR.AC-1: Identities and credentials are managed for authorized devices and users
PR.AC-3: Remote access is managed
PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality",檢測到未知服務有公開的 Port ，攻擊者可能用列舉的方式來測試服務類型。,"We detected that your server exposes a public unknown service, which allows an adversary a greater attack surface.","為避免此風險，建議參照以下準則：
•請避免將任何私有服務公開於外網，必要時應透過 VPN 避免未經授權的使用。","To mitigate this vulnerability, we suggest the following:
• Move the unknown service into the internal network 
• Access the  unknown service via VPN to prevent unauthorized usage",
external_service,remote_service,public_service_os,作業系統版本,Leaked Operating System Version,,,L,M,8.33,2.22,0.68,,12.6    Technical vulnerability management,,,,檢測到作業系統版本。若此版本有已知弱點，可能會被攻擊者直接利用。即使當前版本安全，未來若有新漏洞釋出，您將會成為掌握您資訊的駭客優先攻擊的目標。建議減少揭露在外的資訊。,"We detected that your server leaks information on the operating system version, which allows an adversary to further launch targeted attacks if the version contains known weaknesses.","為避免此風險，建議參照以下準則：
•確保作業系統升級到最新版本。
•隱藏系統版本資訊。","To mitigate this vulnerability, we suggest the following:
• Ensure your operating system is using the latest version
• Hide the operating system version to prevent leaking such information",
external_service,blacklist,blacklist_ip,被列為惡意 IP,Listed as Malicious IP,,,L,H,10.00,2.22,0.68,,,,,,檢測到惡意 IP 黑名單中有 IP 與掃描對象位於相同的網段，攻擊者可能已經藉由該設備為中繼進行惡意行為，如果您是該網段的所有者請立即處理。,"We detected that your server's IP addresses is listed in CIDR ranges marked as malicious in public IP blacklists. This indicates that adversaries may have control over machines in the IP range listed in the details section. As a result, services that consult public whitelists may block your server. Take immediate action if you own the CIDR range.","為避免此風險，建議參照以下準則：
•檢視是否有異常的進程和對外服務。
•檢視是否有異常的日誌記錄。","To mitigate this vulnerability, we suggest the following:
• Inspect if logged events contain suspicous activity, especially internet connections, system processes, or other hosted applications..",
web,web_server,server_cve,伺服器使用有已知漏洞的版本,Server version with known CVEs,,,H,H,29.17,16.53,9.57,,12.6    Technical vulnerability management,,"5. Protect all systems against malware and regularly update antivirus software or programs
6. Develop and maintain secure systems and applications",,"檢測到您的伺服器版本存在 CVE 漏洞，可能因為此造成安全風險。
攻擊者可比照版本資訊找出未修補的漏洞資訊，進而尋找利用方式進行攻擊。",We detected that your web server is using an outdated version with known CVEs. An adversary can exploit your server if it contains unpatched vulnerabilities.,"為避免此風險，建議參照以下準則：
•更新至當前最新或無風險之版本。
•隱藏伺服器版本資訊。","To mitigate this vulnerability, we suggest the following:
• Please upgrade your server software to the latest version or at least apply all available patches.
• Hide the technology and version number to prevent leaking such information.",
web,web_server,server_log4j,伺服器用到與 Log4j 有關的套件,Third-party tools and components may use log4j on server,,,L,M,2.08,1.18,0.68,,,,,,"檢測到您的伺服器用到與 Log4j 有關的套件，可能因為此造成安全風險。
",We detected that your web server may use pakcages which has log4j vulnerability. Please check the packages you used.,建議重新檢視有使用到的套件，並檢查是否已修復 log4j 相關風險。,"To mitigate this vulnerability, we suggest that review the third-party libraries to see if they has log4j vulnerability.",
web,web_server,server_old_version,伺服器使用已終止服務的版本,Server version reached End of Life,,,M,H,4.17,2.36,1.37,,12.6    Technical vulnerability management,,"5. Protect all systems against malware and regularly update antivirus software or programs.
6. Develop and maintain secure systems and applications",,檢測到您的伺服器廠商已終止更新維護服務，即使當前版本安全，未來若此版本有新漏洞釋出，您的網站可能因洩漏此資訊而遭到攻擊，且無更新方式。,"We detected that your web server version has reached End of Life (EoL), which means it will no longer be maintained and supported. Even though there are no known vulnerabilities for the current version, new exploits may be found in the future but no support or updates will be available. We recommend upgrading to an actively maintained version or use another software.","為避免此風險，建議參照以下準則：
•變更伺服器廠商。
•隱藏伺服器版本資訊。","To mitigate this vulnerability, we suggest the following:
• Use another actively maintained software.
• Hide the technology and version number to prevent leaking such information.",
web,web_server,server_cors,CORS 安全等級不足,CORS Misconfiguration,,,M,L,4.17,2.36,1.37,8-7 設定安全性 Header，防止網頁嵌入,,,6. Develop and maintain secure systems and applications,,"檢測到您的網站可能有會產生安全疑慮的 CORS 配置錯誤。
當網頁引用的第三方網頁中包含 XSS 或 CSRF 程式碼，則會導致自身的網頁受到第三方網頁中的惡意程式攻擊，可能會加載異常或惡意的 Web 瀏覽器數據。","We detected that your web server uses misconfigured Cross Origin Resource Sharing (CORS) Headers, which may allow an adversary to inject malicious code into your website and steal potentially sensitive information or distribute malware. CORS allows a server to indicate permitted resource origins and helps prevent loading malicious third party resources..","為避免此風險，建議參照以下準則：
•如果應用程序不需要跨域請求，請刪除所有 CORS Header 。
•從 Access-Control-Allow-Origin 中限制可以發起跨站請求的網域，不應設置為 ""* "" 或 ""null""，除非應用程序上的所有內容皆為公開資訊。 
•從 Access-Control-Allow-Methods 中限制可發起的跨站請求類型。
•從 Access-Control-Allow-Credentials 中指定跨站請求中是否帶 cookie，信任網域來源則設置為 true。","To mitigate this vulnerability, we suggest the following:
•  If your web application does not require cross origin resource loading, remove all CORS headers.
• Whitelist domains that are allowed to initiate cross site requests with Access-Control-Allow-Origin. Do not specify a wildcard directive ""*"" unless all information is public.
• Whitelist HTTP methods for cross site requests with Access-Control-Allow-Methods
• Specify if cookies should be included in cross site requests with Access-Control-Allow-Credentials. Only indicate 'true' for trusted domains.",
web,web_server,server_csp,CSP 未設定或安全等級不足,CSP Misconfiguration,,,M,L,4.17,2.36,1.37,8-7 設定安全性 Header，防止網頁嵌入,,,6. Develop and maintain secure systems and applications,,,,,,
web,web_server,server_csp_not_set,CSP 未設定或安全等級不足,CSP Misconfiguration,CSP 未設定,CSP Missing,M,L,,,,8-7 設定安全性 Header，防止網頁嵌入,,,6. Develop and maintain secure systems and applications,,檢測到您的網站在Header 中缺少內容安全策略（CSP），可能導致機敏資訊遭到竊取。CSP 有助於抵禦包括跨站點腳本（XSS）和注入攻擊。,"We detected that your website is missing  Content Security Policy (CSP) headers, which may  allow an adversary to inject malicious code into your website and steal potentially sensitive information or distribute malware. CSP is designed to reduce the attack surface of Cross Site Scripting (XSS) attacks and other code injection attempts.","為避免此風險，建議參照以下準則：
•於 HTTP Headers 設置 Content-Security-Policy 以支援 Chrome 25 +、Firefox 23+ 和 Safari 7。
•於 HTTP Headers 設置 X-Content-Security-Policy 以支援 Firefox 4.0+ 和 Internet Explorer 10+。
•於 HTTP Headers 設置 X-WebKit-CSP 以支援 Chrome 14+ 和Safari 6+。","To mitigate this vulnerability, we suggest the following:
• Configure the  HTTP Header 'Content-Security-Policy' to support Chrome 25 +,Firefox 23+ , and Safari 7
• Configure the  HTTP Header  'X-Content-Security-Policy' to support Firefox 4.0+ , and Internet Explorer 10+
• Configure the  HTTP Header 'X-WebKit-CSP' to support Chrome 14 + and Safari 6+",
web,web_server,server_csp_all,CSP 未設定或安全等級不足,CSP Misconfiguration,CSP 任意加載,CSP uses wildcard,M,L,,,,8-7 設定安全性 Header，防止網頁嵌入,,,6. Develop and maintain secure systems and applications,,"檢測到您的網站可能有會產生安全疑慮的內容安全策略（CSP）。
在 CSP 指令中檢測到設定為『*』，這意味著它允許所有來源，當網頁引用的第三方網頁中包含XSS或CSRF程式碼，則會導致自身的網頁受到第三方網頁中的惡意程式攻擊。","We detected that your Content Security Policy (CSP) header 'style-src' is misconfigured to use the wildcard directive: '*', which permits  loading files from arbitrary sources. This allows an adversary to inject malicious code into your website and steal potentially sensitive information or distribute malware.
CSP is designed to reduce the attack surface of Cross Site Scripting (XSS) attacks and other code injection attempts, but using dangerous directives may nullify the protections CSP provides.","為避免此風險，建議參照以下準則：
•於 HTTP Headers 設置 『Content-Security-Policy: default-src 'self';』。","To mitigate this vulnerability, we suggest the following:
• Reconfigure your CSP header to use ""Content-Security-Policy: default-src 'self';""",
web,web_server,server_csp_style,CSP 未設定或安全等級不足,CSP Misconfiguration,CSP style-src 配置錯誤,CSP style-src misconfiguration,M,L,,,,8-7 設定安全性 Header，防止網頁嵌入,,,6. Develop and maintain secure systems and applications,,"檢測到您的網站使用會產生安全疑慮的內容安全策略（CSP）。
在 CSP 指令中檢測到 style-src 中有設定『unsafe-inline』，允許網頁程式碼中嵌入任意來源的 inline 資料。駭客可藉此植入攻擊程式碼，騙取用戶點擊並觸發惡意程式來竊取用戶資訊。","We detected that your Content Security Policy (CSP) header 'style-src' is misconfigured to use unsafe directives: 'unsafe–inline' 'unsafe–eval'. This allows an adversary to inject malicious code into your website and steal potentially sensitive information or distribute malware.
CSP is designed to reduce the attack surface of Cross Site Scripting (XSS) attacks and other code injection attempts, but using dangerous directives may nullify the protections CSP provides.","為避免此風險，建議參照以下準則：
•移除 『style-src : 'unsafe-inline'』。
•指定本機與信任的 css style 來源『style-src : 'self'，http://css.security.com』。

修改與配置方式請參考：
•https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Content-Security-Policy/style-src
","To mitigate this vulnerability, we suggest the following:
• Reconfigure your CSP header and remove ""style-src: 'unsafe-inline'""
• Explicitly list trusted css style sources with: ""style-src: 'self', http://css.security.com""

For configuration steps, refer to:
• https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Content-Security-Policy/style-src",
web,web_server,server_csp_script,CSP 未設定或安全等級不足,CSP Misconfiguration,CSP script-src 配置錯誤,CSP script-src misconfiguration,M,L,,,,8-7 設定安全性 Header，防止網頁嵌入,,,6. Develop and maintain secure systems and applications,,"檢測到您的網站使用會產生安全疑慮的內容安全策略（CSP）。
在 CSP 指令中檢測到 script-src 中有設定『unsafe-inline』，允許網頁程式碼中嵌入任意來源的 inline 資料。駭客可藉此植入攻擊程式碼，騙取用戶點擊並觸發惡意程式來竊取用戶資訊。","We detected that your Content Security Policy (CSP) header 'script-src' is misconfigured to use unsafe directives: 'unsafe–inline' 'unsafe–eval'. This allows an adversary to inject malicious code into your website and steal potentially sensitive information or distribute malware.
CSP is designed to reduce the attack surface of Cross Site Scripting (XSS) attacks and other code injection attempts, but using dangerous directives may nullify the protections CSP provides.
","為避免此風險，建議參照以下準則：
•移除 『script-src : 'unsafe-inline'』。
•指定本機與信任的 javascript 來源『script-src : 'self'，http://js.security.com』。

修改與配置方式請參考：
•https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Content-Security-Policy/script-src
","To mitigate this vulnerability, we suggest the following:
• Reconfigure your CSP header and remove ""script-src: 'unsafe-inline'""
• Explicitly list trusted css style sources with: ""script-src: 'self', http://js.security.com""

For configuration steps, refer to:
• https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Content-Security-Policy/script-src
",
web,web_server,server_xss_protection,XSS-Protection 未設定 ,XSS-Protection Misconfiguration,,,M,L,4.17,2.36,1.37,8-7 設定安全性 Header，防止網頁嵌入,,,6. Develop and maintain secure systems and applications,,檢測到您的網站未啟用 XSS-Protection，此功能是 Internet Explorer、Chrome 和 Safari 提供的一項保護設定，可以降低發生 XSS 的風險，阻止頁面加載 XSS，特別是尚未支持 CSP 設定的舊版網頁瀏覽器使用。,"We detected that your website is missing the XSS-Protection Header. XSS-Protection is a mechanism designed to mitigate XSS attacks by preventing pages from loading potentially malicious external scripts. It is  supported by Internet Explorer, Chrome, and Safari and is crucial to older browsers that do not support CSP.","為避免此風險，建議參照以下準則：
•於 HTTP Headers 設置 『X-XSS-Protection : 1; mode=block』，在頁面檢測到 XSS 攻擊時阻止頁面加載。
•若網頁不支援舊版瀏覽器，則不需使用 XSS-Protection，使用 Content-Security-Policy 進行保護。","To mitigate this vulnerability, we suggest the following:
• Configure the HTTP Header 'X-XSS-Protection : 1; mode=block' to protect older web browsers from XSS attacks.
• If your website does not support older browsers, configure Content Security Protection (CSP) Headers instead.",
web,web_server,server_x_frame_options,X-Frame-Options 未設定或安全等級不足,X-Frame-Options Misconfiguration,,,M,L,4.17,2.36,1.37,8-7 設定安全性 Header，防止網頁嵌入,,,6. Develop and maintain secure systems and applications,,,,,,
